title,mixed fandom,ships,characters,hits,kudos,published,Deku,Bakugo,Deku & Bakugo,Aizawa,Prez Mic,Aizawa & Prez Mic,Aizawa & Deku,Enjiro,Bakugo & Kirishima,Shoto,Deku & Shoto,Dabi,Hawks,Dabi & Hawks,Uraraka,Deku & Uraraka,All Might,Deku & All Might,Class,Deku & Class,Denki,Shinsou,Denki & Shinsou,Deku & Shinsou,Reader,Bakugo & Reader,Bakugo & Shoto,Deku & Prez Mic,Mina,Kirashima,Mina & Kirashima,Jirou,Jirou & Denki,Shigaraki Tomura,Deku & Shigaraki Tomura,Aizawa & Shinsou,Nedzu,Deku & Nedzu,Deku & Reader
The Ground Moves in The Dark,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],"['Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic', 'Other Relationship Tags to Be Added']","['Original Male Character(s)', 'Original Characters', 'Aizawa Shouta | Eraserhead', 'Shinsou Hitoshi', 'Todoroki Shouto', 'Yamada Hizashi | Present Mic', 'Ojiro Mashirao', 'Midoriya Izuku', 'Bakugou Katsuki']",0,,2023-04-02,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spirit,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],"['Aizawa Shouta | Eraserhead & Midoriya Izuku', 'Midoriya Izuku & Yamada Hizashi | Present Mic', 'Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic', 'Midoriya Izuku & Shirakumo Oboro', 'Aizawa Shouta | Eraserhead & Shirakumo Oboro & Yamada Hizashi | Present Mic', 'Class 1-A & Midoriya Izuku', 'Bakugou Katsuki & Midoriya Izuku', 'Midoriya Izuku & Shinsou Hitoshi', 'Midoriya Izuku & Todoroki Shouto', 'Midoriya Izuku & Tokoyami Fumikage', 'Eri & Midoriya Izuku', 'Aizawa Shouta | Eraserhead & Eri', 'Eri & Yamada Hizashi | Present Mic', 'Aizawa Shouta | Eraserhead & Eri & Midoriya Izuku & Yamada Hizashi | Present Mic', 'Dabi | Todoroki Touya & Todoroki Shouto', 'Kayama Nemuri | Midnight & Shinsou Hitoshi']","['Midoriya Izuku', 'Aizawa Shouta | Eraserhead', 'Yamada Hizashi | Present Mic', 'Tsukauchi Naomasa', 'Shirakumo Oboro', 'Class 1-A (My Hero Academia)', 'Bakugou Katsuki', 'League of Villains (My Hero Academia)', 'Ectoplasm (My Hero Academia)', 'Yagi Toshinori | All Might', 'Todoroki Shouto', 'Shinsou Hitoshi', 'Nezu', 'Tokoyami Fumikage', 'Eri (My Hero Academia)', 'Dabi | Todoroki Touya', 'Takami Keigo | Hawks', 'Todoroki Natsuo', 'Todoroki Fuyumi', 'Kayama Nemuri | Midnight', 'Kirishima Eijirou', 'Hagakure Tooru', 'Uraraka Ochako', 'Iida Tenya', 'Original Ghost Characters']",1352,157.0,2023-04-02,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
Eleutheromania,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Class 1-A & Kaminari Denki', 'Kaminari Denki & Kirishima Eijirou', 'Kaminari Denki & League of Villains', 'Kaminari Denki & Takami Keigo | Hawks', 'Kaminari Denki & Toga Himiko', 'Eri & Kaminari Denki', 'Jirou Kyouka & Kaminari Denki', 'Kaminari Denki & Todoroki Shouto', 'Kaminari Denki & Uraraka Ochako', 'Ashido Mina & Bakugou Katsuki & Kaminari Denki & Kirishima Eijirou & Sero Hanta', 'Bakugou Katsuki & Midoriya Izuku', 'Other Relationship Tags to Be Added']","['Kaminari Denki', 'Kirishima Eijirou', 'Toga Himiko', 'Dabi | Todoroki Touya', 'Shigaraki Tomura | Shimura Tenko', 'Takami Keigo | Hawks', 'Aizawa Shouta | Eraserhead', 'Eri (My Hero Academia)', 'Tsutsumi Kaina | Lady Nagant', 'Jirou Kyouka', 'Chisaki Kai | Overhaul', 'Pro Heroes (My Hero Academia)', 'League of Villains (My Hero Academia)', 'Hero Public Safety Commission (My Hero Academia)', 'Ashido Mina', 'Sero Hanta', 'Bakugou Katsuki', 'Midoriya Izuku', 'Uraraka Ochako', 'Todoroki Shouto', 'Class 1-A (My Hero Academia)', 'Iida Tenya', 'Yaoyorozu Momo', 'Bubaigawara Jin | Twice', 'Other Character Tags to Be Added']",1206,94.0,2023-04-02,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0
I was a Teenage Dogboy,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],"['Bakugou Katsuki/Midoriya Izuku/Todoroki Shouto', 'Bakugou Katsuki/Midoriya Izuku', 'Bakugou Katsuki/Todoroki Shouto', 'Midoriya Izuku/Todoroki Shouto', 'Bakugou Katsuki/Kirishima Eijirou']","['Bakugou Katsuki', 'Kirishima Eijirou', 'Todoroki Shouto', 'Midoriya Izuku', 'Sero Hanta', 'Kaminari Denki', 'Toyomitsu Taishirou | Fat Gum', 'Todoroki Enji | Endeavor', 'Amajiki Tamaki']",403,30.0,2023-04-02,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Never Tell Me The Odds,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],['Hatsume Mei & Midoriya Izuku & Monoma Neito & Shinsou Hitoshi'],"['Midoriya Izuku', 'Hatsume Mei', 'Monoma Neito', 'Shinsou Hitoshi']",0,,2023-04-02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uncharted Territory,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Bakugou Katsuki/Kaminari Denki/Kirishima Eijirou', 'Kaminari Denki/Kirishima Eijirou', 'Bakugou Katsuki/Kaminari Denki', 'Bakugou Katsuki/Kirishima Eijirou', 'Ashido Mina & Bakugou Katsuki & Kaminari Denki & Kirishima Eijirou & Sero Hanta', 'Kaminari Denki & Kirishima Eijirou', 'Ashido Mina & Kirishima Eijirou & Sero Hanta']","['Kaminari Denki', 'Kirishima Eijirou', 'Bakugou Katsuki', 'Ashido Mina', 'Sero Hanta', 'Class 1-A (My Hero Academia)']",4638,280.0,2023-04-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
On Why Izuku did not meet the Iidas pre-UA,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],['Aizawa Shouta | Eraserhead & Iida Tensei | Ingenium'],"['Iida Tensei | Ingenium', 'Aizawa Shouta | Eraserhead']",0,,2023-04-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maybe We'll Fix Each Other,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Dabi | Todoroki Touya & Eri', 'Aizawa Shouta | Eraserhead & Dabi | Todoroki Touya & Eri']","['Dabi | Todoroki Touya', 'Eri (My Hero Academia)', 'Shigaraki Tomura | Shimura Tenko', 'Aizawa Shouta | Eraserhead', 'Chisaki Kai | Overhaul', 'Takami Keigo | Hawks']",13094,750.0,2023-04-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Ground Moves in The Dark,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],"['Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic', 'Other Relationship Tags to Be Added']","['Original Male Character(s)', 'Original Characters', 'Aizawa Shouta | Eraserhead', 'Shinsou Hitoshi', 'Todoroki Shouto', 'Yamada Hizashi | Present Mic', 'Ojiro Mashirao', 'Midoriya Izuku', 'Bakugou Katsuki']",2,,2023-04-02,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spirit,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],"['Aizawa Shouta | Eraserhead & Midoriya Izuku', 'Midoriya Izuku & Yamada Hizashi | Present Mic', 'Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic', 'Midoriya Izuku & Shirakumo Oboro', 'Aizawa Shouta | Eraserhead & Shirakumo Oboro & Yamada Hizashi | Present Mic', 'Class 1-A & Midoriya Izuku', 'Bakugou Katsuki & Midoriya Izuku', 'Midoriya Izuku & Shinsou Hitoshi', 'Midoriya Izuku & Todoroki Shouto', 'Midoriya Izuku & Tokoyami Fumikage', 'Eri & Midoriya Izuku', 'Aizawa Shouta | Eraserhead & Eri', 'Eri & Yamada Hizashi | Present Mic', 'Aizawa Shouta | Eraserhead & Eri & Midoriya Izuku & Yamada Hizashi | Present Mic', 'Dabi | Todoroki Touya & Todoroki Shouto', 'Kayama Nemuri | Midnight & Shinsou Hitoshi']","['Midoriya Izuku', 'Aizawa Shouta | Eraserhead', 'Yamada Hizashi | Present Mic', 'Tsukauchi Naomasa', 'Shirakumo Oboro', 'Class 1-A (My Hero Academia)', 'Bakugou Katsuki', 'League of Villains (My Hero Academia)', 'Ectoplasm (My Hero Academia)', 'Yagi Toshinori | All Might', 'Todoroki Shouto', 'Shinsou Hitoshi', 'Nezu', 'Tokoyami Fumikage', 'Eri (My Hero Academia)', 'Dabi | Todoroki Touya', 'Takami Keigo | Hawks', 'Todoroki Natsuo', 'Todoroki Fuyumi', 'Kayama Nemuri | Midnight', 'Kirishima Eijirou', 'Hagakure Tooru', 'Uraraka Ochako', 'Iida Tenya', 'Original Ghost Characters']",1387,161.0,2023-04-02,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
Eleutheromania,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Class 1-A & Kaminari Denki', 'Kaminari Denki & Kirishima Eijirou', 'Kaminari Denki & League of Villains', 'Kaminari Denki & Takami Keigo | Hawks', 'Kaminari Denki & Toga Himiko', 'Eri & Kaminari Denki', 'Jirou Kyouka & Kaminari Denki', 'Kaminari Denki & Todoroki Shouto', 'Kaminari Denki & Uraraka Ochako', 'Ashido Mina & Bakugou Katsuki & Kaminari Denki & Kirishima Eijirou & Sero Hanta', 'Bakugou Katsuki & Midoriya Izuku', 'Other Relationship Tags to Be Added']","['Kaminari Denki', 'Kirishima Eijirou', 'Toga Himiko', 'Dabi | Todoroki Touya', 'Shigaraki Tomura | Shimura Tenko', 'Takami Keigo | Hawks', 'Aizawa Shouta | Eraserhead', 'Eri (My Hero Academia)', 'Tsutsumi Kaina | Lady Nagant', 'Jirou Kyouka', 'Chisaki Kai | Overhaul', 'Pro Heroes (My Hero Academia)', 'League of Villains (My Hero Academia)', 'Hero Public Safety Commission (My Hero Academia)', 'Ashido Mina', 'Sero Hanta', 'Bakugou Katsuki', 'Midoriya Izuku', 'Uraraka Ochako', 'Todoroki Shouto', 'Class 1-A (My Hero Academia)', 'Iida Tenya', 'Yaoyorozu Momo', 'Bubaigawara Jin | Twice', 'Other Character Tags to Be Added']",1208,94.0,2023-04-02,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0
Whoops.,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],['Iida Tenya/Todoroki Shouto'],"['Iida Tenya', 'Todoroki Shouto']",13,2.0,2023-04-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
box,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Dabi | Todoroki Touya & Todoroki Fuyumi & Todoroki Shouto', 'Dabi | Todoroki Touya & Takami Keigo | Hawks', 'Amajiki Tamaki/Hadou Nejire', 'Todoroki Shouto/Toga Himiko']","['Todoroki Shouto', 'Dabi | Todoroki Touya', 'Todoroki Fuyumi', 'Midoriya Izuku', 'Amajiki Tamaki', 'Toga Himiko', 'Hadou Nejire', 'Takami Keigo | Hawks', 'Hakamata Tsunagu | Best Jeanist', 'Todoroki Natsuo', 'Iida Tenya']",3106,129.0,2023-04-02,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Stranded Sheep (RENAMED),"['Fandoms:\n文豪ストレイドッグス | Bungou Stray Dogs, Katekyou Hitman Reborn!, 僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)']",['Dazai Osamu/Nakahara Chuuya (Bungou Stray Dogs)'],"['Nakahara Chuuya (Bungou Stray Dogs)', 'Nakajima Atsushi (Bungou Stray Dogs)', 'Akutagawa Ryuunosuke (Bungou Stray Dogs)', 'Izumi Kyouka (Bungou Stray Dogs)', 'Higuchi Ichiyou (Bungou Stray Dogs)', 'Sawada Tsunayoshi', 'Gokudera Hayato', 'Yamamoto Takeshi', 'Chrome Dokuro', 'Reborn (Katekyou Hitman Reborn!)', 'Dazai Osamu (Bungou Stray Dogs)', 'Nedzu (My Hero Academia)', 'Yagi Toshinori | All Might', 'U.A. Faculty (My Hero Academia)', 'U.A. Students (My Hero Academia)', 'League of Villains (My Hero Academia)', 'Class 1-A (My Hero Academia)', 'Port Mafia Ensemble (Bungou Stray Dogs)', 'Hero Public Safety Commission (My Hero Academia)']",687,100.0,2023-04-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The SLAYING hero,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Bakugou Katsuki/Reader', 'Midoriya Izuku/Reader', 'Class 1-A (My Hero Academia)/Reader']","['Midoriya Izuku', 'Aizawa Shouta | Eraserhead', 'Kirishima Eijirou', 'Kaminari Denki', 'Class 1-A (My Hero Academia)', 'Class 1-B (My Hero Academia)', 'Todoroki Shouto', 'Shinsou Hitoshi', 'Ashido Mina', 'Sero Hanta', 'Bakugou Mitsuki', 'Iida Tenya', 'Yaoyorozu Momo', 'Asui Tsuyu']",229,7.0,2023-04-02,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Newton, the Physics Hero",['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],"['Midoriya Izuku/Yanagi Reiko', 'Bakugou Katsuki/Kirishima Eijirou']","['Midoriya Izuku', 'Yanagi Reiko', 'Bakugou Katsuki', 'Class 1-A (My Hero Academia)', 'Class 1-B (My Hero Academia)', 'Kirishima Eijirou', 'Jirou Kyouka', 'Yaoyorozu Momo', 'Shiozaki Ibara', 'Yagi Toshinori | All Might', 'Nedzu (My Hero Academia)', 'Midoriya Inko', 'Aizawa Shouta | Eraserhead', 'Uraraka Ochako']",16,,2023-04-02,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Say It,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],['Bakugou Katsuki/Midoriya Izuku'],"['Bakugou Katsuki', 'Midoriya Izuku']",2668,146.0,2023-04-02,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tenko's True Family,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],"['Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic', 'Aizawa Shouta | Eraserhead & Shigaraki Tomura | Shimura Tenko', 'Aizawa Shouta | Eraserhead & Rooftop trio', 'Dabi | Todoroki Touya/Shigaraki Tomura | Shimura Tenko', 'Fukukado Emi | Ms. Joke/Kayama Nemuri | Midnight']","['Aizawa Shouta | Eraserhead', 'Shigaraki Tomura | Shimura Tenko', ""Aizawa Shouta | Eraserhead's Parents"", 'Yamada Hizashi | Present Mic', 'Kayama Nemuri | Midnight', 'Dabi | Todoroki Touya', 'Fukukado Emi | Ms. Joke', 'Iida Tensei | Ingenium']",13,,2023-04-02,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Game Plus,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Midoriya Izuku/Uraraka Ochako', 'Midoriya Izuku/Uraraka Ochako/Original Female Character(s)', 'Midoriya Izuku/Original Female Character(s)', 'Uraraka Ochako/Original Female Character(s)', 'Eri & Midoriya Izuku', 'Eri & Uraraka Ochako', 'Shigaraki Tomura | Shimura Tenko & Shimura Hana', 'Shouji Mezou/Original Female Character(s)']","['Midoriya Izuku', 'Uraraka Ochako', 'Original Female Character(s)', 'Original Characters', 'Yagi Toshinori | All Might', 'Bakugou Katsuki', 'Eri (My Hero Academia)', 'Chisaki Kai | Overhaul', 'Sasaki Mirai | Sir Nighteye', 'Toogata Mirio', 'Hadou Nejire', 'Amajiki Tamaki', 'Class 1-A (My Hero Academia)', 'Class 1-B (My Hero Academia)', 'Nedzu (My Hero Academia)', 'Aizawa Shouta | Eraserhead', 'Midoriya Inko', 'Sensei | All For One', 'Shigaraki Tomura | Shimura Tenko', 'Toga Himiko', 'Asui Tsuyu', 'Shimura Hana']",310950,5397.0,2023-04-02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Desperate Measures,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Aizawa Shouta | Eraserhead & Midoriya Izuku', 'Midoriya Izuku & Shinsou Hitoshi', 'Midoriya Izuku & Todoroki Shouto', 'Bakugou Katsuki/Consequences - Relationship']","['Midoriya Izuku', 'Aizawa Shouta | Eraserhead', 'Shinsou Hitoshi', 'Todoroki Shouto', 'Monoma Neito', 'Iida Tenya', 'Sasaki Mirai | Sir Nighteye', 'Tsukauchi Naomasa', 'Class 1-A (My Hero Academia)']",27593,1325.0,2023-04-02,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
The Silent Explosion,['Fandoms:\nMy Hero Academia'],[],"['Katsuki Bakugou', 'Midoriya Izuku', 'Todoroki Shoto', 'Shigaraki Tomura', 'BNHA All For One', 'Kurogiri', 'Aizawa Shouta | Eraserhead', 'Toshinori Yagi | All might', 'Sensei | All For One', 'Dabi | Todoroki Touya', 'Bubaigawara Jin | Twice', 'Toga Himiko', 'Sako Atsuhiro | Mr. Compress', 'Takami Keigo | Hawks', 'Todoroki Enji | Endeavor']",464,10.0,2023-04-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Katsuki, féministe malgré lui.",['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Bakugou Katsuki/Midoriya Izuku', 'Bakugou Katsuki & Midoriya Izuku']","['Bakugou Katsuki', 'Midoriya Izuku', 'Aizawa Shouta | Eraserhead', 'U.A. Students (My Hero Academia)', 'Kirishima Eijirou', 'Sero Hanta', 'Kaminari Denki', 'Todoroki Shouto', 'Mighty', 'Yagi Toshinori | All Might', 'Yamada Hizashi | Present Mic', 'Kayama Nemuri | Midnight', 'Nezu']",276,11.0,2023-04-02,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
